0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2),0_Lago Paranoa(id3)
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.98,1,1,1
0.99,1,1,1
1,1,1,1
0.99,1,1,1
0.98,1,1,1
0.96,1,1,1
0.99,1,1,1
0.95,1,1,1
0.95,1,1,1
0.98,1,1,1
0.93,1,1,1
0.92,1,1,1
0.93,1,1,1
0.93,1,1,1
0.86,1,1,1
0.87,1,1,1
0.92,1,1,1
0.89,1,1,1
0.88,1,1,1
0.87,1,1,1
0.86,1,1,1
0.85,1,1,1
0.88,1,1,1
0.86,1,1,1
0.88,1,1,1
0.86,1,1,1
0.86,1,1,1
0.78,1,1,1
0.82,1,1,1
0.84,0.99,1,1
0.82,0.99,1,1
0.86,0.99,1,1
0.91,1,1,1
0.89,1,1,1
