Realization	utility	WSS	week	infra.
0	0	0	521	5
0	0	0	1356	6
1	0	0	521	5
1	0	0	1043	6
1	0	0	1356	10
2	0	0	521	5
2	0	0	1095	6
2	0	0	1408	10
3	0	0	521	5
3	0	0	1304	6
3	0	0	1930	10
4	0	0	521	5
4	0	0	1200	6
4	0	0	1513	10
5	0	0	521	5
5	0	0	1200	6
5	0	0	1617	10
6	0	0	626	5
6	0	0	1930	6
7	0	0	521	5
7	0	0	939	6
7	0	0	1252	10
8	0	0	626	5
9	0	0	521	5
9	0	0	1148	6
9	0	0	1461	10
10	0	0	469	5
10	0	0	782	6
10	0	0	1095	10
11	0	0	626	5
11	0	0	1930	6
12	0	0	469	5
12	0	0	939	6
12	0	0	1252	10
13	0	0	521	5
13	0	0	939	6
13	0	0	1252	10
14	0	0	469	5
14	0	0	887	6
14	0	0	1200	10
15	0	0	626	5
16	0	0	574	5
16	0	0	1617	6
17	0	0	521	5
17	0	0	1304	6
17	0	0	1826	10
18	0	0	469	5
18	0	0	782	6
18	0	0	1095	10
19	0	0	574	5
19	0	0	1461	6
20	0	0	574	5
20	0	0	1930	6
21	0	0	521	5
21	0	0	1252	6
21	0	0	1774	10
22	0	0	469	5
22	0	0	887	6
22	0	0	1200	10
23	0	0	574	5
23	0	0	1826	6
24	0	0	574	5
24	0	0	1774	6
25	0	0	521	5
25	0	0	939	6
25	0	0	1252	10
26	0	0	521	5
26	0	0	1304	6
26	0	0	2035	10
27	0	0	469	5
27	0	0	939	6
27	0	0	1252	10
28	0	0	626	5
28	0	0	1982	6
29	0	0	574	5
29	0	0	1669	6
29	0	0	1982	10
30	0	0	469	5
30	0	0	887	6
30	0	0	1200	10
31	0	0	521	5
31	0	0	939	6
31	0	0	1252	10
32	0	0	469	5
32	0	0	782	6
32	0	0	1095	10
33	0	0	521	5
33	0	0	1043	6
33	0	0	1356	10
34	0	0	469	5
34	0	0	730	6
34	0	0	1043	10
35	0	0	521	5
35	0	0	1252	6
35	0	0	1722	10
36	0	0	521	5
36	0	0	1356	6
37	0	0	469	5
37	0	0	730	6
37	0	0	1043	10
38	0	0	521	5
38	0	0	1095	6
38	0	0	1408	10
39	0	0	521	5
39	0	0	1148	6
39	0	0	1461	10
40	0	0	469	5
40	0	0	834	6
40	0	0	1148	10
41	0	0	626	5
41	0	0	1930	6
42	0	0	521	5
42	0	0	1148	6
42	0	0	1513	10
43	0	0	469	5
43	0	0	782	6
43	0	0	1095	10
44	0	0	521	5
44	0	0	939	6
44	0	0	1252	10
45	0	0	574	5
45	0	0	1617	6
46	0	0	469	5
46	0	0	834	6
46	0	0	1148	10
47	0	0	469	5
47	0	0	887	6
47	0	0	1200	10
48	0	0	521	5
48	0	0	991	6
48	0	0	1304	10
49	0	0	521	5
49	0	0	1043	6
49	0	0	1356	10
50	0	0	469	5
50	0	0	782	6
50	0	0	1095	10
51	0	0	469	5
51	0	0	939	6
51	0	0	1252	10
52	0	0	574	5
52	0	0	1774	6
53	0	0	574	5
53	0	0	1930	6
54	0	0	469	5
54	0	0	887	6
54	0	0	1200	10
55	0	0	521	5
55	0	0	1043	6
55	0	0	1356	10
56	0	0	469	5
56	0	0	730	6
56	0	0	1043	10
57	0	0	521	5
57	0	0	1356	6
58	0	0	521	5
58	0	0	1043	6
58	0	0	1356	10
59	0	0	469	5
59	0	0	782	6
59	0	0	1095	10
60	0	0	574	5
60	0	0	1565	6
61	0	0	469	5
61	0	0	887	6
61	0	0	1200	10
62	0	0	469	5
62	0	0	887	6
62	0	0	1200	10
63	0	0	574	5
63	0	0	1774	6
64	0	0	521	5
64	0	0	1356	6
65	0	0	521	5
65	0	0	1252	6
65	0	0	1722	10
66	0	0	574	5
66	0	0	1669	6
67	0	0	417	5
67	0	0	834	6
67	0	0	1148	10
68	0	0	469	5
68	0	0	730	6
68	0	0	1043	10
69	0	0	574	5
69	0	0	1461	6
70	0	0	469	5
70	0	0	887	6
70	0	0	1200	10
71	0	0	469	5
71	0	0	939	6
71	0	0	1252	10
72	0	0	521	5
72	0	0	1356	6
73	0	0	521	5
73	0	0	939	6
73	0	0	1252	10
74	0	0	521	5
74	0	0	991	6
74	0	0	1304	10
75	0	0	469	5
75	0	0	834	6
75	0	0	1148	10
76	0	0	521	5
76	0	0	1043	6
76	0	0	1356	10
77	0	0	521	5
77	0	0	1252	6
77	0	0	1669	10
78	0	0	574	5
78	0	0	1513	6
79	0	0	626	5
79	0	0	1930	6
80	0	0	521	5
80	0	0	1043	6
80	0	0	1356	10
81	0	0	521	5
81	0	0	1095	6
81	0	0	1408	10
82	0	0	626	5
82	0	0	1982	6
83	0	0	521	5
83	0	0	991	6
83	0	0	1304	10
84	0	0	521	5
84	0	0	1095	6
84	0	0	1408	10
85	0	0	574	5
85	0	0	1513	6
86	0	0	574	5
86	0	0	1513	6
87	0	0	521	5
87	0	0	1304	6
87	0	0	1982	10
88	0	0	521	5
88	0	0	1200	6
88	0	0	1617	10
89	0	0	521	5
89	0	0	1148	6
89	0	0	1461	10
90	0	0	574	5
90	0	0	1617	6
91	0	0	469	5
91	0	0	782	6
91	0	0	1095	10
92	0	0	521	5
92	0	0	1252	6
92	0	0	1722	10
93	0	0	469	5
93	0	0	939	6
93	0	0	1252	10
94	0	0	521	5
94	0	0	1200	6
95	0	0	521	5
95	0	0	1095	6
95	0	0	1408	10
96	0	0	574	5
96	0	0	1617	6
97	0	0	521	5
97	0	0	1095	6
97	0	0	1408	10
98	0	0	521	5
98	0	0	1148	6
98	0	0	1461	10
99	0	0	521	5
99	0	0	1095	6
99	0	0	1408	10
100	0	0	469	5
100	0	0	782	6
100	0	0	1095	10
101	0	0	469	5
101	0	0	887	6
101	0	0	1200	10
102	0	0	469	5
102	0	0	834	6
102	0	0	1148	10
103	0	0	469	5
103	0	0	887	6
103	0	0	1200	10
104	0	0	521	5
104	0	0	1408	6
105	0	0	574	5
105	0	0	1930	6
106	0	0	574	5
106	0	0	1461	6
107	0	0	574	5
107	0	0	1878	6
108	0	0	469	5
108	0	0	730	6
108	0	0	1043	10
109	0	0	469	5
109	0	0	887	6
109	0	0	1200	10
110	0	0	469	5
110	0	0	834	6
110	0	0	1148	10
111	0	0	574	5
111	0	0	1565	6
112	0	0	574	5
112	0	0	1930	6
113	0	0	469	5
113	0	0	834	6
113	0	0	1148	10
114	0	0	574	5
114	0	0	1617	6
115	0	0	521	5
115	0	0	1148	6
115	0	0	1513	10
116	0	0	469	5
116	0	0	730	6
116	0	0	1043	10
117	0	0	521	5
117	0	0	1200	6
117	0	0	1617	10
118	0	0	521	5
118	0	0	1408	6
119	0	0	521	5
119	0	0	1304	6
119	0	0	1617	10
120	0	0	521	5
120	0	0	1200	6
120	0	0	1617	10
121	0	0	521	5
121	0	0	991	6
121	0	0	1304	10
122	0	0	574	5
122	0	0	1669	6
123	0	0	574	5
123	0	0	1930	6
124	0	0	574	5
124	0	0	1565	6
125	0	0	469	5
125	0	0	834	6
125	0	0	1148	10
126	0	0	574	5
126	0	0	1252	6
127	0	0	521	5
127	0	0	1304	6
127	0	0	1930	10
128	0	0	626	5
128	0	0	1930	6
129	0	0	469	5
129	0	0	782	6
129	0	0	1095	10
130	0	0	574	5
130	0	0	1461	6
131	0	0	521	5
131	0	0	939	6
131	0	0	1252	10
132	0	0	469	5
132	0	0	887	6
132	0	0	1200	10
133	0	0	521	5
133	0	0	1200	6
133	0	0	1617	10
134	0	0	469	5
134	0	0	887	6
134	0	0	1200	10
135	0	0	469	5
135	0	0	887	6
135	0	0	1200	10
136	0	0	626	5
136	0	0	1304	6
137	0	0	469	5
137	0	0	730	6
137	0	0	1043	10
138	0	0	521	5
138	0	0	991	6
138	0	0	1304	10
139	0	0	574	5
139	0	0	1461	6
140	0	0	365	5
140	0	0	678	6
140	0	0	1043	10
141	0	0	469	5
141	0	0	887	6
141	0	0	1200	10
142	0	0	469	5
142	0	0	782	6
142	0	0	1095	10
143	0	0	469	5
143	0	0	887	6
143	0	0	1200	10
144	0	0	521	5
144	0	0	991	6
144	0	0	1304	10
145	0	0	574	5
145	0	0	1461	6
146	0	0	574	5
146	0	0	1513	6
147	0	0	469	5
147	0	0	939	6
147	0	0	1252	10
148	0	0	469	5
148	0	0	834	6
148	0	0	1148	10
149	0	0	521	5
149	0	0	1043	6
149	0	0	1356	10
150	0	0	469	5
150	0	0	730	6
150	0	0	1043	10
151	0	0	521	5
151	0	0	991	6
151	0	0	1304	10
152	0	0	521	5
152	0	0	1304	6
152	0	0	1826	10
153	0	0	469	5
153	0	0	730	6
153	0	0	1043	10
154	0	0	626	5
154	0	0	1930	6
155	0	0	574	5
155	0	0	1565	6
156	0	0	574	5
156	0	0	1722	6
157	0	0	469	5
157	0	0	834	6
157	0	0	1148	10
158	0	0	521	5
158	0	0	939	6
158	0	0	1252	10
159	0	0	469	5
159	0	0	730	6
159	0	0	1043	10
160	0	0	469	5
160	0	0	939	6
160	0	0	1252	10
161	0	0	521	5
161	0	0	991	6
161	0	0	1304	10
162	0	0	469	5
162	0	0	730	6
162	0	0	1043	10
163	0	0	626	5
163	0	0	1982	6
164	0	0	521	5
164	0	0	991	6
164	0	0	1304	10
165	0	0	469	5
165	0	0	887	6
165	0	0	1200	10
166	0	0	626	5
167	0	0	521	5
167	0	0	887	6
167	0	0	1408	10
168	0	0	469	5
168	0	0	887	6
168	0	0	1200	10
169	0	0	469	5
169	0	0	782	6
169	0	0	1095	10
170	0	0	469	5
170	0	0	834	6
170	0	0	1148	10
171	0	0	469	5
171	0	0	887	6
171	0	0	1200	10
172	0	0	574	5
172	0	0	1513	6
173	0	0	521	5
173	0	0	1408	6
173	0	0	1722	10
174	0	0	521	5
174	0	0	1200	6
174	0	0	1669	10
175	0	0	574	5
175	0	0	1878	6
176	0	0	521	5
176	0	0	939	6
176	0	0	1252	10
177	0	0	469	5
177	0	0	730	6
177	0	0	1043	10
178	0	0	521	5
178	0	0	991	6
178	0	0	1304	10
179	0	0	574	5
179	0	0	1930	6
180	0	0	521	5
180	0	0	1043	6
180	0	0	1356	10
181	0	0	521	5
181	0	0	1043	6
181	0	0	1356	10
182	0	0	521	5
182	0	0	1095	6
182	0	0	1408	10
183	0	0	521	5
183	0	0	1356	6
184	0	0	521	5
184	0	0	991	6
184	0	0	1304	10
185	0	0	521	5
185	0	0	1356	6
185	0	0	2035	10
186	0	0	521	5
186	0	0	1095	6
186	0	0	1461	10
187	0	0	469	5
187	0	0	730	6
187	0	0	1043	10
188	0	0	521	5
188	0	0	939	6
188	0	0	1252	10
189	0	0	521	5
189	0	0	991	6
189	0	0	1304	10
190	0	0	469	5
190	0	0	834	6
190	0	0	1148	10
191	0	0	469	5
191	0	0	834	6
191	0	0	1148	10
192	0	0	469	5
192	0	0	834	6
192	0	0	1148	10
193	0	0	521	5
193	0	0	1200	6
193	0	0	1513	10
194	0	0	521	5
194	0	0	991	6
194	0	0	1304	10
195	0	0	469	5
195	0	0	834	6
195	0	0	1148	10
196	0	0	521	5
196	0	0	1095	6
196	0	0	1408	10
197	0	0	521	5
197	0	0	991	6
197	0	0	1304	10
198	0	0	469	5
198	0	0	782	6
198	0	0	1095	10
199	0	0	521	5
199	0	0	1356	6
200	0	0	469	5
200	0	0	730	6
200	0	0	1043	10
201	0	0	521	5
201	0	0	939	6
201	0	0	1252	10
202	0	0	521	5
202	0	0	991	6
202	0	0	1304	10
203	0	0	469	5
203	0	0	887	6
203	0	0	1200	10
204	0	0	521	5
204	0	0	1461	6
205	0	0	469	5
205	0	0	782	6
205	0	0	1095	10
206	0	0	521	5
206	0	0	939	6
206	0	0	1252	10
207	0	0	574	5
207	0	0	1513	6
207	0	0	1826	10
208	0	0	469	5
208	0	0	887	6
208	0	0	1200	10
209	0	0	521	5
209	0	0	1095	6
209	0	0	1408	10
210	0	0	469	5
210	0	0	887	6
210	0	0	1200	10
211	0	0	469	5
211	0	0	834	6
211	0	0	1148	10
212	0	0	469	5
212	0	0	939	6
212	0	0	1252	10
213	0	0	469	5
213	0	0	887	6
213	0	0	1200	10
214	0	0	574	5
214	0	0	1878	6
215	0	0	469	5
215	0	0	939	6
215	0	0	1252	10
216	0	0	626	5
217	0	0	469	5
217	0	0	782	6
217	0	0	1095	10
218	0	0	521	5
218	0	0	1252	6
218	0	0	1722	10
219	0	0	521	5
219	0	0	1043	6
219	0	0	1356	10
220	0	0	521	5
220	0	0	1252	6
220	0	0	1669	10
221	0	0	574	5
221	0	0	1565	6
222	0	0	574	5
222	0	0	1826	6
223	0	0	626	5
223	0	0	2035	6
224	0	0	469	5
224	0	0	730	6
224	0	0	1043	10
225	0	0	521	5
225	0	0	1148	6
225	0	0	1461	10
226	0	0	574	5
226	0	0	1461	6
227	0	0	521	5
227	0	0	1043	6
227	0	0	1356	10
228	0	0	469	5
228	0	0	782	6
228	0	0	1095	10
229	0	0	469	5
229	0	0	730	6
229	0	0	1043	10
230	0	0	574	5
230	0	0	1356	6
231	0	0	469	5
231	0	0	782	6
231	0	0	1095	10
232	0	0	521	5
232	0	0	1043	6
232	0	0	1356	10
233	0	0	521	5
233	0	0	1252	6
233	0	0	1774	10
234	0	0	469	5
234	0	0	834	6
234	0	0	1148	10
235	0	0	469	5
235	0	0	782	6
235	0	0	1095	10
236	0	0	574	5
236	0	0	1774	6
237	0	0	469	5
237	0	0	834	6
237	0	0	1148	10
238	0	0	521	5
238	0	0	1148	6
238	0	0	1513	10
239	0	0	469	5
239	0	0	730	6
239	0	0	1043	10
240	0	0	521	5
240	0	0	991	6
240	0	0	1304	10
241	0	0	469	5
241	0	0	939	6
241	0	0	1252	10
242	0	0	521	5
242	0	0	1043	6
242	0	0	1356	10
243	0	0	521	5
243	0	0	1095	6
243	0	0	1408	10
244	0	0	521	5
244	0	0	1043	6
244	0	0	1356	10
245	0	0	521	5
245	0	0	991	6
245	0	0	1304	10
246	0	0	469	5
246	0	0	730	6
246	0	0	1043	10
247	0	0	521	5
247	0	0	1252	6
247	0	0	1722	10
248	0	0	521	5
248	0	0	1043	6
248	0	0	1356	10
249	0	0	469	5
249	0	0	730	6
249	0	0	1043	10
250	0	0	521	5
250	0	0	1148	6
250	0	0	1461	10
251	0	0	469	5
251	0	0	834	6
